method,original_dim,pca_dim,pca_applied,wcss,silhouette,davies_bouldin,calinski_harabasz,explained_variance,n_clusters,dimensions_used
word2vec_bob,50,50,False,112.6194276788939,0.05539078863663193,1.968847947648515,55.18494452821955,1.0,10,50
word2vec_bob,50,25,True,85.64152138659935,-0.0631972962663694,1.8044002851597896,72.26292891904838,0.8302037243693648,10,25
word2vec_bob,100,100,False,118.74554818410017,0.050990803383191376,2.4709953313020456,38.808022557000776,1.0,10,100
word2vec_bob,100,25,True,66.21890580515515,-0.06752434389782452,1.5718246835866645,69.72825920512017,0.6591966280355007,10,25
word2vec_bob,100,50,True,101.13125590715029,0.013797067799644349,2.403701155936978,44.96427112207735,0.8825399102875585,10,50
word2vec_bob,100,75,True,116.78926794504852,-0.016777895116431255,2.3209986261923943,38.93828589339248,0.9842799267627059,10,75
word2vec_bob,200,200,False,109.03886347876356,-0.08527386732431012,2.6759432495986273,33.91924099744254,1.0,10,200
word2vec_bob,200,25,True,50.205300861750985,-0.08905178776128793,1.4207728992804516,75.0549894935893,0.5752810462532213,10,25
word2vec_bob,200,50,True,75.6944220545779,-0.09694401187799105,1.8022152158071183,48.70604232911509,0.7564390031579249,10,50
word2vec_bob,200,75,True,90.46756989769773,-0.09420041782189968,2.5201264133137853,40.1015658186356,0.8607841569385194,10,75
word2vec_bob,200,100,True,98.30294288099813,-0.11500819528747463,1.939348310515993,38.056295044113256,0.9241539610354552,10,100
doc2vec,50,50,False,2935.6079912250543,-0.059390106415694616,1.6842195142904501,120.50476044708608,1.0,10,50
doc2vec,50,25,True,2758.3089178641594,0.0815835807533783,1.4994176722838712,127.47223466570895,0.9656339583787764,10,25
doc2vec,100,100,False,2610.7848588117313,-0.04335061752831462,1.6576919817659963,127.24357960567518,1.0,10,100
doc2vec,100,25,True,2430.3347158556544,0.11195604717759906,1.6581836051358962,136.93859810210427,0.9658301376909181,10,25
doc2vec,100,50,True,2577.6692760646324,0.12198994425409627,1.7749034521576028,129.2979289597176,0.995170032019001,10,50
doc2vec,100,75,True,2597.372540491769,0.1190811257989296,1.7852043370051405,128.33373404043124,0.999062458286178,10,75
doc2vec,200,200,False,2280.6189835789537,-0.06766757468071176,1.7281405067443167,139.39212652538316,1.0,10,200
doc2vec,200,25,True,2153.9913946676097,0.12187725346828465,1.5929424249889323,147.8196808794498,0.9739140101059353,10,25
doc2vec,200,50,True,2263.886997421028,0.11516359351659473,1.5505704038602761,140.13879075723577,0.9954045545979276,10,50
doc2vec,200,75,True,2267.89163895844,0.13072994921657113,1.6985372230243887,140.4826390122738,0.9984299169699253,10,75
doc2vec,200,100,True,2272.4881915810442,0.12894348388918622,1.706430558793911,140.1661838458648,0.9992873463357652,10,100
